term,semantic_cluster
Supervised Learning,4
Unsupervised Learning,4
Classification,4
Regression,4
Clustering,1
Data Cleaning,2
Feature Scaling,2
Dimensionality Reduction,2
Encoding Categorical Variables,4
Feature Extraction,2
Cross-Validation,2
Confusion Matrix,2
Precision,1
Recall,1
F1 Score,0
Hyperparameter Tuning,2
Grid Search,3
Random Search,2
Bayesian Optimization,3
Early Stopping,2
Artificial Neural Network,3
Activation Function,4
Backpropagation,0
Convolutional Neural Network,2
Recurrent Neural Network,4
Model Deployment,4
Model Serving,1
Monitoring,2
A/B Testing,2
Rollback,2
Concept Drift,2
Temporal Dependency,4
Replay Methods,1
Regularization Methods,2
Isolation Methods,2
Symbolic Regression,0
Genetic Programming,0
Randomized Algorithms,1
Computational Complexity,0
Symbolic AI,4
Skipgram,4
Word2Vec,3
Distribution Hypothesis,1
Text Representation,4
Word Representation,1
Simulated Annealing,3
Monte Carlo Algorithm,3
Las Vegas Algorithm,0
Pseudocode,0
Continual Learning,4
Random Forest,1
Adaptive Random Forest (ARF),1
Ensembles,1
Naive Bayes,3
Decision Tree,1
k-Nearest Neighbors (k-NN),1
Adaptive Machine Learning (Adaptive ML),1
Explainable AI (XAI),1
Bootstrap Aggregating (Bagging),1
Ensemble Learning,1
Tournament Selection,0
Parsimony Pressure,0
Bloat,1
Underfitting,2
Overfitting,1
Bias-Variance Trade-off,1
Generalization,4
Mutation,1
Crossover,0
Lexicase Selection,1
Fitness Function,0
Expression Tree,4
Monte Carlo Tree Search (MCTS),0
Bayesian Symbolic Regression,3
Serviceâ€‘oriented Computing (SOC),0
Implicit Graphs,1
Depth First Search (DFS),0
Breadth First Search (BFS),0
Graph Connectivity,0
Greedy Search (Greedy Algorithm),4
Traveling Salesman Problem (TSP),0
Graph Search,1
Tabu Search,0
Simulated Annealing,3
Word Embedding,3
Softmax Function,3
Causal Mask,3
Sequence-to-Sequence Model,3
Recurrent Neural Network (RNN),3
BLEU (Bilingual Evaluation Understudy),3
WMT Translation Task,3
Ensembles,1
Constituency Parsing,3
Context Vector,3
Recurrence,3
Convolutions,3
Transformer,3
Self-Attention,3
